series_name,set_code,set_name,scrydex_id,db_card_rows,db_unique_numbers,scrydex_rows,scrydex_unique_numbers,missing_unique_numbers,missing_rows,db_numeric_max,status
ソード・シールド,S3,拡張パック「ムゲンゾーン」,swsh3_ja,110,110,119,119,9,9,110,OK
ソード・シールド,S4,拡張パック「仰天のボルテッカー」,swsh4_ja,111,111,121,121,10,10,111,OK
ソード・シールド,S5a,強化拡張パック「双璧のファイター」,swsh5a_ja,84,84,96,96,12,12,84,OK
ソード・シールド,S7R,拡張パック「蒼空ストリーム」,swsh7r_ja,79,79,90,90,11,11,79,OK
BWシリーズ,BW4-B,ポケモンカードゲームBW 拡張パック「ダークラッシュ」,bw4_ja,69,69,76,76,7,7,69,OK
BWシリーズ,BW5-Brz,ポケモンカードゲームBW　拡張パック「リューズブラスト」,bw5s_ja,50,50,55,55,5,5,50,OK
BWシリーズ,BW6-Bf,ポケモンカードゲームBW 拡張パック「フリーズボルト」,bw6f_ja,59,59,65,65,6,6,59,OK
BWシリーズ,BW8-Brf,ポケモンカードゲームBW 拡張パック「ラセンフォース」,bw8s_ja,51,51,58,58,7,7,51,OK
BWシリーズ,BW9-B,ポケモンカードゲームBW 拡張パック「メガロキャノン」,bw9_ja,76,76,86,86,10,10,76,OK
SVシリーズ,SVOD,スターターセットex ダイゴのダンバル＆メタグロスex,svod_ja,19,19,19,19,0,0,19,OK
XYシリーズ,XY,ハイクラスパック「THE BEST OF XY」,xy_ja,42,42,188,188,146,146,186,OK
ソード・シールド,S10D,拡張パック「タイムゲイザー」,swsh10d_ja,88,88,88,88,0,0,88,OK
ソード・シールド,S1H,拡張パック「シールド」,swsh1h_ja,68,68,75,75,7,7,68,OK
ソード・シールド,S1a,強化拡張パック「VMAXライジング」,swsh1a_ja,78,78,86,86,8,8,78,OK
ソード・シールド,S2a,強化拡張パック「爆炎ウォーカー」,swsh2a_ja,78,78,86,86,8,8,78,OK
ソード・シールド,S3a,強化拡張パック「伝説の鼓動」,swsh3a_ja,85,85,94,94,9,9,85,OK
ソード・シールド,S5R,拡張パック「連撃マスター」,swsh5r_ja,81,81,91,91,10,10,81,OK
ソード・シールド,S6a,強化拡張パック「イーブイヒーローズ」,swsh6a_ja,87,87,101,101,14,14,87,OK
ソード・シールド,S8a,拡張パック「25th ANNIVERSARY COLLECTION」,swsh8a_ja,26,26,38,38,12,12,29,OK
ソード・シールド,SGG,ハイクラスデッキ「ゲンガーVMAX」,sgg_ja,21,21,21,21,1,1,20,OK
XYシリーズ,XY1-By,ポケモンカードゲームXY 拡張パック「コレクションY」,xy1y_ja,63,63,63,63,0,0,63,OK
XYシリーズ,XY2,ポケモンカードゲームXY 拡張パック「ワイルドブレイズ」,xy2_ja,87,87,90,90,3,3,87,OK
XYシリーズ,XY4,ポケモンカードゲームXY 拡張パック「ファントムゲート」,xy4_ja,95,95,97,97,2,2,95,OK
XYシリーズ,XY5-Bt,ポケモンカードゲームXY 拡張パック「タイダルストーム」,xy5t_ja,78,78,80,80,2,2,78,OK
XYシリーズ,XY8-Br,ポケモンカードゲームXY BREAK　拡張パック「赤い閃光」,xy8r_ja,64,64,65,65,1,1,64,OK
SVシリーズ,SV5K,ワイルドフォース,sv5k_ja,100,100,100,100,0,0,100,OK
SVシリーズ,SVOM,スターターセットex マリィのモルペコ＆オーロンゲex,svom_ja,20,20,20,20,0,0,20,OK
XYシリーズ,XY1-Bx,ポケモンカードゲームXY 拡張パック「コレクションX」,xy1x_ja,63,63,63,63,0,0,63,OK
XYシリーズ,XY10-B,ポケモンカードゲームXY BREAK 拡張パック「めざめる超王」,xy10_ja,87,87,88,88,1,1,87,OK
XYシリーズ,XY3,ポケモンカードゲームXY 拡張パック「ライジングフィスト」,xy3_ja,103,103,105,105,2,2,103,OK
XYシリーズ,XY5-Bg,ポケモンカードゲームXY 拡張パック「ガイアボルケーノ」,xy5g_ja,78,78,80,80,2,2,78,OK
XYシリーズ,XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,11,11,91,91,80,80,89,OK
XYシリーズ,XY7,ポケモンカードゲームXY 拡張パック「バンデットリング」,xy7_ja,11,11,97,97,86,86,92,OK
XYシリーズ,XY8-Bb,ポケモンカードゲームXY BREAK　拡張パック「青い衝撃」,xy8b_ja,64,64,65,65,1,1,64,OK
XYシリーズ,XY9-B,ポケモンカードゲームXY BREAK　拡張パック「破天の怒り」,xy9_ja,88,88,89,89,1,1,88,OK
SMシリーズ,SMM,スターターセット TAG TEAM GX 「エーフィ&デオキシスGX」「ブラッキー&ダークライGX」,smm_ja,31,31,31,31,0,0,31,OK
SVシリーズ,WCS23,ポケモンワールドチャンピオンシップス2023横浜 記念デッキ「ピカチュウ」,wcs23_ja,30,30,30,30,0,0,30,OK
XYシリーズ,CP4,ポケモンカードゲームXY BREAK プレミアムチャンピオンパック「EX×M×BREAK」,cp4_ja,131,131,140,140,9,9,131,OK
XYシリーズ,CP6,ポケモンカードゲームXY BREAK コンセプトパック「ポケットモンスターカードゲーム 拡張パック 20th Anniversary」,cp6_ja,103,103,103,103,0,0,103,OK
XYシリーズ,CP3,ポケモンカードゲームXY BREAK コンセプトパック「ポケキュンコレクション」,cp3_ja,32,32,32,32,0,0,32,OK
XYシリーズ,CP5,ポケモンカードゲームXY BREAK コンセプトパック「幻・伝説ドリームキラコレクション」,cp5_ja,38,38,38,38,0,0,38,OK
XYシリーズ,CP1,マグマ団VSアクア団 ダブルクライシス,cp1_ja,34,34,34,34,0,0,34,OK
XYシリーズ,CP2,伝説キラコレクション,cp2_ja,27,27,27,27,0,0,27,OK
BWシリーズ,DS,ポケモンカードゲームBW 拡張パック「ドラゴンセレクション」,ds1_ja,20,20,20,20,0,0,20,OK
