set_id,series_name,db_code,db_name,scrydex_id,scrydex_url,candidate_ids,status
ee41c22d-f9ce-4255-8594-5f6f32940f1a,BWシリーズ,HSPm,ポケモンカードゲームBW はじめてセット ピカチュウver. （ミジュマルデッキ）,,,,UNRESOLVED_SET
5324894c-b35f-4b10-8075-0696be8905d7,BWシリーズ,HSPt,ポケモンカードゲームBW はじめてセット ピカチュウver. （ツタージャデッキ）,,,,UNRESOLVED_SET
b9af8be1-6c92-484f-a9c8-cd676894021c,BWシリーズ,HSZp,ポケモンカードゲームBW はじめてセット 全国図鑑版 （ポカブデッキ）,,,,UNRESOLVED_SET
cb17bd4f-d22a-49d6-9f46-f9fd39c72dc2,BWシリーズ,HSm,ポケモンカードゲームBW はじめてセット forガール （ミジュマルデッキ）,,,,UNRESOLVED_SET
2e1756b9-e1c7-40a4-979f-bd135ed7bf79,BWシリーズ,HSt,ポケモンカードゲームBW はじめてセット forガール （ツタージャデッキ）,,,,UNRESOLVED_SET
89fd1846-523d-4aa2-a81b-e0ad34e46209,BWシリーズ,KK,ポケモンカードゲームBW 「最強爆流コンボデッキ60 カメックス＋キュレムEX」,,,,UNRESOLVED_SET
91a0d41f-0365-4580-99e7-4858dbebf177,BWシリーズ,PPD,ポケモンカードゲームBW 「プラズマ団パワードデッキ30」,,,,UNRESOLVED_SET
2d7facfd-10a8-4160-92a3-474cea068e8c,BWシリーズ,CS1p,ポケモンカードゲームBW コレクションシート 旅立ちの仲間 ポカブ,,,,UNRESOLVED_SET
725b7761-718b-4806-98ae-576b98d93cde,BWシリーズ,GBR,ポケモンカードゲームBW 「ガブリアスデッキ30」,,,,UNRESOLVED_SET
896b5d36-d477-4f4d-882f-3ecff689b238,BWシリーズ,HSPp,ポケモンカードゲームBW はじめてセット ピカチュウver. （ポカブデッキ）,,,,UNRESOLVED_SET
4afa86c3-a37a-49f2-9d91-c9b96cf26ea8,BWシリーズ,HSZm,ポケモンカードゲームBW はじめてセット 全国図鑑版 （ミジュマルデッキ）,,,,UNRESOLVED_SET
59ffbab0-eb3a-4da2-b9ac-9e92ac5bb550,BWシリーズ,HSZt,ポケモンカードゲームBW はじめてセット 全国図鑑版 （ツタージャデッキ）,,,,UNRESOLVED_SET
4f776912-1b8d-4215-aac4-bfcce732c8c7,BWシリーズ,HSp,ポケモンカードゲームBW はじめてセット forガール （ポカブデッキ）,,,,UNRESOLVED_SET
f0396155-d154-4946-8208-11a05a41d923,BWシリーズ,KLD,ポケモンカードゲームBW バトル強化デッキ30「ケルディオ」,,,,UNRESOLVED_SET
55e6d6fd-52c1-438e-9b05-d8e60f9c4893,BWシリーズ,MDB,ポケモンカードゲームBW 「トッププレイヤーが選ぶ100＋40枚 マスターデッキビルドBOX EX」,,,,UNRESOLVED_SET
32500309-1cc7-4c5a-a11e-a3151a6c1637,BWシリーズ,PBG,ポケモンカードゲームBW プラズマ団バトルギフトセット,,,,UNRESOLVED_SET
07c7c398-510a-431d-8cfc-0b6d234fbbe8,BWシリーズ,WAK,ポケモンカードゲームBW みんなのWAKUWAKUバトル,,,,UNRESOLVED_SET
