set_code,set_name,number,db_card_number,db_name,db_rarity,db_image_url,found_in_scrydex
SM1p,サン&ムーン,70,070,基本炎エネルギー,,https://images.scrydex.com/pokemon/sm1p_ja-70/large,YES
SM1p,サン&ムーン,71,071,基本超エネルギー,,https://images.scrydex.com/pokemon/sm1p_ja-71/large,YES
SV4a,シャイニートレジャーex,1,001,ナゾノクサ,,https://images.scrydex.com/pokemon/sv4a_ja-1/medium,YES
SV4a,シャイニートレジャーex,2,002,クサイハナ,,https://images.scrydex.com/pokemon/sv4a_ja-2/medium,YES
SV4a,シャイニートレジャーex,3,003,ラフレシア,,https://images.scrydex.com/pokemon/sv4a_ja-3/medium,YES
SV4a,シャイニートレジャーex,4,004,ストライク,,https://images.scrydex.com/pokemon/sv4a_ja-4/medium,YES
SV4a,シャイニートレジャーex,5,005,ハネッコ,,https://images.scrydex.com/pokemon/sv4a_ja-5/medium,YES
SV4a,シャイニートレジャーex,6,006,ポポッコ,,https://images.scrydex.com/pokemon/sv4a_ja-6/medium,YES
SV4a,シャイニートレジャーex,7,007,ワタッコ,,https://images.scrydex.com/pokemon/sv4a_ja-7/medium,YES
SV4a,シャイニートレジャーex,8,008,クヌギダマ,,https://images.scrydex.com/pokemon/sv4a_ja-8/medium,YES
SV4a,シャイニートレジャーex,9,009,フォレトスex,RR,https://images.scrydex.com/pokemon/sv4a_ja-9/medium,YES
SV4a,シャイニートレジャーex,10,010,ユキカブリ,,https://images.scrydex.com/pokemon/sv4a_ja-10/medium,YES
SV4a,シャイニートレジャーex,11,011,ユキノオー,,https://images.scrydex.com/pokemon/sv4a_ja-11/medium,YES
SV4a,シャイニートレジャーex,12,012,ニャオハ,,https://images.scrydex.com/pokemon/sv4a_ja-12/medium,YES
SV4a,シャイニートレジャーex,13,013,ニャローテ,,https://images.scrydex.com/pokemon/sv4a_ja-13/medium,YES
SV4a,シャイニートレジャーex,14,014,マスカーニャex,RR,https://images.scrydex.com/pokemon/sv4a_ja-14/medium,YES
SV4a,シャイニートレジャーex,15,015,ミニーブ,,https://images.scrydex.com/pokemon/sv4a_ja-15/medium,YES
SV4a,シャイニートレジャーex,16,016,オリーニョ,,https://images.scrydex.com/pokemon/sv4a_ja-16/medium,YES
SV4a,シャイニートレジャーex,17,017,オリーヴァ,,https://images.scrydex.com/pokemon/sv4a_ja-17/medium,YES
