id,name,code,release_date,created_at,tcgdex_series_id,series_name,image_url
1962db4f-a262-488a-8430-7dc2df687e0c,スペシャルカードセット ミュウツーV-UNION、ゲッコウガV-UNION、ザシアンV-UNION,SP5,,2026-08-28 06:28:04.680293+00:00,,ソード・シールド,
33b94e3c-7107-4986-aefb-25b7d168b2bf,スターターセットex ニャオハ＆ルカリオex,SVAM,,2026-08-28 06:28:04.834409+00:00,,SVシリーズ,
3f9da1bc-73f7-4a5b-a48a-76b66b155e10,プレミアムトレーナーボックスex,SVB,,2026-08-28 06:28:04.987208+00:00,,SVシリーズ,
fa4fdd05-681a-47a0-be0a-20b019ebb52c,exスタートデッキ,SVD,,2026-08-28 06:28:05.149208+00:00,,SVシリーズ,
40e8b9b0-dd80-4134-a824-665f698114f8,スターターセット テラスタル「ミュウツーex」「ラウドボーンex」,SVEM,,2026-08-28 06:28:05.298441+00:00,,SVシリーズ,
487d846d-b055-4f79-86e8-64730f225c6c,スペシャルデッキセットex フシギバナ・リザードン・カメックス,SVG,,2026-08-28 06:28:05.456192+00:00,,SVシリーズ,
598cb6cf-d8c6-4f1e-b257-d3fac4134bf3,スターターデッキ＆ビルドセット「未来のミライドンex」,SVHM,,2026-08-28 06:28:05.608508+00:00,,SVシリーズ,
bdf939d9-7a1d-4109-8a6f-59660dc67d0d,バトルマスターデッキテラスタルリザードンex,SVJL,,2026-08-28 06:28:05.758363+00:00,,SVシリーズ,
4234424b-a5fb-4a85-872e-07cc9a8845de,スタートデッキ Generations,SVM,,2026-08-28 06:28:05.912289+00:00,,SVシリーズ,
0639e5d3-e70d-42a8-be94-1176667230a2,強化拡張パックex1 マグマVSアクア ふたつの野望,ADV4,2003-10-24,2026-08-29 06:08:54.959922+00:00,ADV,ADV・PCGシリーズ,https://archives.bulbagarden.net/wiki/Special:Redirect/file/Ex1%20Magma%20VS%20Aqua%20Two%20Ambitions%20pack.jpg
542b66c8-7c21-4bdb-affe-8f231b7ce8a6,スターターセットex ダイゴのダンバル＆メタグロスex,SVOD,,2026-08-28 06:28:06.067673+00:00,,SVシリーズ,
9decbd91-1215-4254-8795-0835a9c601a7,exスペシャルセット,SVP1,,2026-08-28 06:28:06.219721+00:00,,SVシリーズ,
a0688785-c0ff-43fa-84fa-48d14432b701,ハイクラスパック「THE BEST OF XY」,XY,,2026-08-28 06:28:06.711105+00:00,,XYシリーズ,
7232c008-006b-4250-8b7a-d6e96202a657,拡張パック「タイムゲイザー」,S10D,,2026-08-28 06:28:00.489227+00:00,,ソード・シールド,
92b1b2b5-1413-4667-96da-f6302db14a80,拡張パック「シールド」,S1H,,2026-08-28 06:28:00.650493+00:00,,ソード・シールド,
692e5d4f-0da6-4011-a12c-ffdb1309cba4,強化拡張パック「VMAXライジング」,S1a,,2026-08-28 06:28:00.805079+00:00,,ソード・シールド,
34f34ce8-d9b4-4c63-9460-a26290607bc5,強化拡張パック「爆炎ウォーカー」,S2a,,2026-08-28 06:28:00.956743+00:00,,ソード・シールド,
5ef17897-aa4b-47b6-ba3f-437267d27a85,強化拡張パック「伝説の鼓動」,S3a,,2026-08-28 06:28:01.107783+00:00,,ソード・シールド,
db89ab0e-03c2-433a-bbc0-771d17066a54,拡張パック「連撃マスター」,S5R,,2026-08-28 06:28:01.265614+00:00,,ソード・シールド,
a29ec842-6bdb-4f63-9b66-6d63ca4e67cf,強化拡張パック「イーブイヒーローズ」,S6a,,2026-08-28 06:28:01.436909+00:00,,ソード・シールド,
798983eb-5b45-49ab-b90a-339a8fd22b4a,拡張パック「25th ANNIVERSARY COLLECTION」,S8a,,2026-08-28 06:28:01.609517+00:00,,ソード・シールド,
79161f5d-a8a7-4eed-ae2c-2313a071f9be,プレミアムトレーナーボックス ソード＆シールド,SB,,2026-08-28 06:28:01.817165+00:00,,ソード・シールド,
5a852d95-0fe0-43c0-b84b-860fb52ec41d,スターターセットVMAX リザードン,SC2,,2026-08-28 06:28:02.007903+00:00,,ソード・シールド,
37cd007a-3c49-46f8-a7d7-5e65194bf84e,Vスタートデッキ無色　イーブイ,SD,,2026-08-28 06:28:02.189541+00:00,,ソード・シールド,
b19defcd-5894-43b1-8d5c-243f1a02aefe,スターターセットVMAX カメックス,SEK,,2026-08-28 06:28:02.366238+00:00,,ソード・シールド,
259f0e66-c9f7-4fa0-909c-b6c3006b37b8,ハイクラスデッキ「ゲンガーVMAX」,SGG,,2026-08-28 06:28:02.517268+00:00,,ソード・シールド,
7225534a-6b50-418a-8daa-7b743bf1217a,ファミリーポケモンカードゲーム,SH,,2026-08-28 06:28:02.669398+00:00,,ソード・シールド,
8bc045bb-5781-467b-989c-fad87ddfa2e2,第4弾拡張パック とかれた封印,ADV5,2004-01-16,2026-08-29 06:09:19.387449+00:00,ADV,ADV・PCGシリーズ,https://archives.bulbagarden.net/wiki/Special:Redirect/file/ADV4%20Undone%20Seal%20pack.jpg
fac01baf-ad7e-4762-8184-1f9a6314a25b,拡張パック 伝説の飛翔,PCG1,2004-04-09,2026-08-28 04:31:01.447878+00:00,PCG,ADV・PCGシリーズ,https://archives.bulbagarden.net/wiki/Special:Redirect/file/PCG1%20Flight%20of%20Legends%20pack.jpg
047ab5a9-d857-458a-81ee-2f17dd134eb4,拡張パック 蒼空の激突,PCG2,2004-07-01,2026-08-28 04:31:01.729218+00:00,PCG,ADV・PCGシリーズ,https://archives.bulbagarden.net/wiki/Special:Redirect/file/PCG2%20Clash%20of%20the%20Blue%20Sky%20pack.jpg
46e545ae-6687-4e6a-8478-8cb9f622f6fb,拡張パック ロケット団の逆襲,PCG3,2004-10-15,2026-08-28 04:31:02.004405+00:00,PCG,ADV・PCGシリーズ,https://archives.bulbagarden.net/wiki/Special:Redirect/file/PCG3%20Rocket%20Gang%20Strikes%20Back%20pack.jpg
79de8102-f556-4f51-b67b-226974cd588d,拡張パック 金の空、銀の海,PCG4,2005-04-08,2026-08-28 04:31:02.263899+00:00,PCG,ADV・PCGシリーズ,https://archives.bulbagarden.net/wiki/Special:Redirect/file/PCG4%20Golden%20Sky%20Silvery%20Ocean%20pack.jpg
d67bbaa7-f76c-420c-a7f9-6e4d1afb8040,拡張パック まぼろしの森,PCG5,2005-06-30,2026-08-28 04:31:02.529343+00:00,PCG,ADV・PCGシリーズ,https://archives.bulbagarden.net/wiki/Special:Redirect/file/PCG5%20Mirage%20Forest%20pack.jpg
e345368c-6502-442b-8aa8-61fc464a23e7,メガ プロモカード,M-P,2025-07-28,2026-08-28 04:30:56.652150+00:00,M,プロモ,
4f1fc0e6-efe0-4d2a-be0e-c2ff7d95bd8c,金、銀、新世界へ...,neo1,2000-02-04,2026-08-28 04:31:00.433109+00:00,neo,旧裏・e・VS,
4232e164-da34-45cf-bb52-a027e0ec7b2c,遺跡をこえて...,neo2,2000-07-07,2026-08-28 04:31:00.688646+00:00,neo,旧裏・e・VS,
4ed51809-a743-4ed4-8a83-342e55ad4f5f,めざめる伝説,neo3,2000-11-23,2026-08-28 04:31:00.940621+00:00,neo,旧裏・e・VS,
